,Unnamed: 0,date,open,high,low,close,volume
164,164,2024-06-24 11:59:00+05:30,833.1,833.65,833.1,833.35,7666
165,165,2024-06-24 12:00:00+05:30,833.6,833.65,833.25,833.3,5210
166,166,2024-06-24 12:01:00+05:30,833.3,833.65,833.2,833.45,9670
167,167,2024-06-24 12:02:00+05:30,833.45,833.6,833.2,833.2,4282
168,168,2024-06-24 12:03:00+05:30,833.3,833.5,833.05,833.4,6351
169,169,2024-06-24 12:04:00+05:30,833.3,833.85,833.3,833.65,18307
170,170,2024-06-24 12:05:00+05:30,833.55,833.9,833.5,833.7,8252
171,171,2024-06-24 12:06:00+05:30,833.65,833.65,833.0,833.35,13667
172,172,2024-06-24 12:07:00+05:30,833.35,833.95,833.1,833.35,20898
173,173,2024-06-24 12:08:00+05:30,833.35,834.2,833.35,834.15,60146
174,174,2024-06-24 12:09:00+05:30,834.2,834.2,833.5,833.5,9046
175,175,2024-06-24 12:10:00+05:30,833.75,834.0,833.55,833.75,5413
176,176,2024-06-24 12:11:00+05:30,833.7,834.0,833.4,833.6,9401
177,177,2024-06-24 12:12:00+05:30,833.65,834.0,833.5,833.85,11688
178,178,2024-06-24 12:13:00+05:30,834.0,834.0,833.8,833.95,6357
179,179,2024-06-24 12:14:00+05:30,833.95,833.95,833.55,833.75,9277
180,180,2024-06-24 12:15:00+05:30,833.6,833.8,833.0,833.1,12684
181,181,2024-06-24 12:16:00+05:30,833.35,833.8,833.0,833.75,12660
182,182,2024-06-24 12:17:00+05:30,833.75,833.85,833.55,833.8,4672
183,183,2024-06-24 12:18:00+05:30,833.8,834.15,833.6,833.9,14956
184,184,2024-06-24 12:19:00+05:30,834.0,834.9,833.95,834.8,64347
185,185,2024-06-24 12:20:00+05:30,834.5,834.9,834.1,834.15,28579
186,186,2024-06-24 12:21:00+05:30,834.35,834.4,834.0,834.2,11836
187,187,2024-06-24 12:22:00+05:30,834.2,834.3,832.5,832.5,38873
188,188,2024-06-24 12:23:00+05:30,832.55,833.2,832.5,832.95,13987
189,189,2024-06-24 12:24:00+05:30,832.85,833.4,832.55,833.4,11028
190,190,2024-06-24 12:25:00+05:30,833.35,833.85,833.0,833.2,12528
191,191,2024-06-24 12:26:00+05:30,833.3,834.0,833.2,833.7,14958
192,192,2024-06-24 12:27:00+05:30,833.75,834.0,833.45,833.75,7166
193,193,2024-06-24 12:28:00+05:30,833.95,834.0,833.5,833.95,11399
194,194,2024-06-24 12:29:00+05:30,833.95,833.95,833.45,833.8,10713
195,195,2024-06-24 12:30:00+05:30,833.8,834.45,833.6,833.9,17690
196,196,2024-06-24 12:31:00+05:30,834.1,834.7,833.9,834.45,36874
197,197,2024-06-24 12:32:00+05:30,834.45,834.55,833.7,833.75,11427
198,198,2024-06-24 12:33:00+05:30,834.1,834.5,833.75,833.95,10083
199,199,2024-06-24 12:34:00+05:30,833.9,834.55,833.75,834.25,14704
